month,precipitation_sum,rain_sum,temperature_2m_max,temperature_2m_min
2000-01-01,41.7,41.7,20.061290322580643,8.235483870967743
2000-02-01,41.599999999999994,41.599999999999994,20.42758620689655,8.417241379310344
2000-03-01,3.2,3.2,29.051612903225806,13.874193548387098
2000-04-01,5.8,5.8,37.95666666666667,21.426666666666666
2000-05-01,42.4,42.4,39.90967741935484,27.883870967741935
2000-06-01,117.8,117.8,36.35666666666667,27.34
2000-07-01,264.3,264.3,32.00645161290323,25.719354838709677
2000-08-01,136.2,136.2,32.564516129032256,25.932258064516127
2000-09-01,12.2,12.2,33.49333333333333,24.096666666666668
2000-10-01,0.5,0.5,33.58064516129032,19.88064516129032
2000-11-01,1.2,1.2,27.84333333333333,14.613333333333335
2000-12-01,0.0,0.0,22.793548387096774,8.196774193548388
2001-01-01,4.1,4.1,19.925806451612903,6.825806451612903
2001-02-01,12.4,12.4,24.639285714285712,10.385714285714286
2001-03-01,16.5,16.5,29.799999999999997,14.887096774193548
2001-04-01,16.2,16.2,35.71666666666667,20.153333333333332
2001-05-01,61.7,61.7,38.932258064516134,26.31935483870968
2001-06-01,202.3,202.3,35.21666666666667,26.673333333333336
2001-07-01,160.4,160.4,32.3,26.096774193548388
2001-08-01,93.2,93.2,32.75806451612903,26.061290322580643
2001-09-01,12.9,12.9,35.26,24.333333333333332
2001-10-01,12.5,12.5,32.76451612903226,20.29032258064516
2001-11-01,6.4,6.4,27.383333333333333,13.6
2001-12-01,0.0,0.0,22.532258064516128,9.712903225806452
2002-01-01,21.799999999999997,21.799999999999997,20.074193548387097,7.874193548387097
2002-02-01,28.700000000000003,28.700000000000003,23.49642857142857,10.24642857142857
2002-03-01,6.0,6.0,31.26451612903226,15.887096774193548
2002-04-01,8.4,8.4,38.18,22.033333333333335
2002-05-01,24.299999999999997,24.299999999999997,41.71290322580645,26.94516129032258
2002-06-01,29.1,29.1,39.343333333333334,28.56
2002-07-01,13.2,13.2,39.693548387096776,30.87741935483871
2002-08-01,151.5,151.5,32.73870967741935,26.519354838709678
2002-09-01,94.8,94.8,30.92,22.779999999999998
2002-10-01,2.9000000000000004,2.9000000000000004,31.893548387096775,19.22258064516129
2002-11-01,0.0,0.0,27.37,14.336666666666668
2002-12-01,21.1,21.1,22.806451612903224,10.093548387096773
2003-01-01,33.7,33.7,18.164516129032258,6.787096774193548
2003-02-01,43.9,43.9,22.235714285714288,10.767857142857142
